"State","Property_taxes","Sales_and_gross_receipts","Licenses","Income_taxes","Other_taxes","Total","2016_population","Per_capita_collections"
"New York","N/A","24790017","1794987","50690443","4078516","81353963","19745289","4120"
"Connecticut","N/A","6149782","455454","8276620","363091","15244947","3576452","4263"
"New Jersey","4638","13173332","1499889","15585479","1283382","31546720","8944469","3527"
"Pennsylvania","43124","19284374","2159170","14388463","1519458","37394589","12784227","2925"
"United States","18364298","442909995","52164396","392286910","24538146","930263745","322762018","2882"
